Date,Open,High,Low,Close
2022-10-01 00:00:00+08:00,25.539387832278738,26.62175900198786,24.656602104667183,26.253292083740234
2022-11-01 00:00:00+08:00,26.3607613891942,27.665750756801895,26.09976319355805,27.013256072998047
2022-12-01 00:00:00+08:00,27.45291459227224,27.45291459227224,25.668747446873958,26.312599182128906
2023-01-01 00:00:00+08:00,26.312601165634966,27.926109858188614,25.924739704158654,27.763206481933594
2023-02-01 00:00:00+08:00,27.926110967062815,28.236400799579247,26.48326243209316,26.506534576416016
2023-03-01 00:00:00+08:00,26.53756208545601,26.646162707035547,24.590489832621824,25.598934173583984
2023-04-01 00:00:00+08:00,25.598932214832757,26.10315271919604,24.939565187164785,25.459300994873047
2023-05-01 00:00:00+08:00,25.783722809220837,26.145103934950445,23.803985595703125,23.803985595703125
2023-06-01 00:00:00+08:00,24.304164724403158,25.43459075759891,24.240478797750765,25.084318161010742
2023-07-01 00:00:00+08:00,25.219653266934593,27.424779986080075,24.29620722321358,27.273527145385742
2023-08-01 00:00:00+08:00,27.369054328473815,27.504386512276604,25.776904406940062,26.509292602539062
2023-09-01 00:00:00+08:00,26.886317805985257,27.847121393720005,26.579508099452546,27.16083335876465
2023-10-01 00:00:00+08:00,27.403048430981254,27.612970558805355,26.482614385035117,26.522985458374023
2023-11-01 00:00:00+08:00,26.708689306738318,27.386902053819192,25.424927346566893,25.62677764892578
2023-12-01 00:00:00+08:00,26.216071833666987,27.43675784708521,25.405012426079093,27.371217727661133
2024-01-01 00:00:00+08:00,27.371217683024625,27.559645955776485,25.888371194328286,26.117761611938477
2024-02-01 00:00:00+08:00,26.216071647123574,28.06758258596868,25.92114111181383,27.30567741394043
2024-03-01 00:00:00+08:00,27.44494884265513,30.009208921318166,27.289292354347708,29.517656326293945
2024-04-01 00:00:00+08:00,29.493078894373124,31.523186080472925,28.968757980726537,31.451093673706055
2024-05-01 00:00:00+08:00,32.80394468590211,32.9320130672719,32.00808868053151,32.92286682128906
2024-06-01 00:00:00+08:00,33.51195919781659,33.59554992537436,32.833914811167716,33.24259948730469
2024-07-01 00:00:00+08:00,33.34477345236192,35.806154220408175,33.24260227476043,33.985660552978516
2024-08-01 00:00:00+08:00,34.09712060178967,34.09712060178967,30.372538749644523,33.77203369140625
2024-09-01 00:00:00+08:00,34.38278894330447,37.458748592835796,34.25069317909262,35.90189743041992
2024-10-01 00:00:00+08:00,36.043432775185615,37.45875078782898,35.52448355708435,36.47746276855469
2024-11-01 00:00:00+08:00,36.326496277456066,40.59132172688598,36.28875359930025,40.034629821777344
2024-12-01 00:00:00+08:00,40.8331177363262,42.954568056730636,40.52732355532159,41.779170989990234
2025-01-01 00:00:00+08:00,41.750500549956186,43.42281408300715,41.2058044336765,42.629661560058594
2025-02-01 00:00:00+08:00,42.0754071614941,44.770220666935515,41.93206818928801,43.862396240234375
2025-03-01 00:00:00+08:00,43.719054305624965,44.88489692028833,41.97029038362993,44.4070930480957
2025-04-01 00:00:00+08:00,43.59482262841053,44.13951873046902,34.688559079405316,40.565547943115234
2025-05-01 00:00:00+08:00,41.5134784487874,43.75195164872256,41.184006250916994,43.33526611328125
2025-06-01 00:00:00+08:00,44.24548037385674,44.886002868194815,42.39288466037599,44.255332946777344
2025-07-01 00:00:00+08:00,44.275042071702146,48.4926500114549,43.999124919483336,47.21160125732422
2025-08-01 00:00:00+08:00,46.92583040685224,50.7000013521117,46.63020433301245,49.7835578918457
2025-09-01 00:00:00+08:00,50.63999938964844,53.2400016784668,50.119998931884766,51.790000915527344
